147,PARKING GARAGE A,PGA,"12491 University Blvd., Orlando, FL 32816"
150,PUBLIC SAFETY BUILDING,UPD,"3610 Libra Dr., Orlando, FL 32816"
151,PARKING GARAGE H,PGH,"12638 Gemini Blvd. N., Orlando, FL 32816"
152,AMPAC RESEARCH FACILITY,ARF,"12712 Ara Dr., Orlando, FL 32816"
153,VISITOR & PARKING INFORMATION ,VPI,"4000 Central Florida Blvd., Orlando, FL 32816"
154,MAE/OM LABORATORY,MAE,"12765 Ara Dr., Orlando, FL 32816"
156,NEPTUNE BUILDING 156,N156,"3676 Libra Dr., Orlando, FL 32816"
157,NEPTUNE BUILDING 157,N157,"3700 Libra Dr., Orlando, FL 32816"
158,NEPTUNE BUILDING 158,N158,"3692 Libra Dr., Orlando, FL 32816"
159,HOUSING ADMINISTRATIVE SERVICES,N159,"3684 Libra Dr., Orlando, FL 32816"
160,LIBRA GARAGE,LG,"3820 Libra Dr., Orlando, FL 32816"
161,ARBORETUM GREENHOUSE,AGH,"4160 Libra Dr., Orlando, FL 32816"
162,FACILITY SUPPORT BUILDING,FSB,"3991 Libra Dr., Orlando, FL 32816"
163,BAND PRACTICE FACILITY,BAND,"3518 Perseus Loop, Orlando, FL 32816"
165,ROTH ATHLETIC CENTER,RAC,"4192 N. Orion Blvd., Orlando, FL 32816"
310,KIOSK,KSK,"4399 Andromeda Loop N, Orlando, FL 32816"
311,LAKE CLAIRE RESTROOM BLDG,LKCR,"12491 Gemini Blvd. N., Orlando, FL 32816"
317,RECREATION SERVICES SOCCER FIELD PAVILION,RSSP,"12669 Scholarship Dr., Orlando, FL 32816"
318,RECREATION SERVICE PAVILION,RSP,"12677 Scholarship Dr., Orlando, FL 32816"
319,ENGINEERING RESEARCH PAVILION,ENP,"12871 Ara Dr., Orlando, FL 32816"
320,RECREATION SERVICES FIELD RESTROOM,RSFR,"12685 Scholarship Dr., Orlando, FL 32816"
321,RECREATION SERVICES FIELD MAINTENANCE ,RFM,"12693 Scholarship Dr., Orlando, FL 32816"
325,CHALLENGE COURSE PAVILION,CCP,"12693 Scholarship Dr., Orlando, FL 32816"
329,TIMOTHY R. NEWMAN PAVILION   (pole barn),TRMP,"12950 Gemini Blvd. E., Orlando, FL 32816"
331,WEKIVA PAVILION,WP,"12451 Gemini Blvd. N., Orlando, FL 32816"
332,SUWANNEE PAVILION,SP,"12459 Gemini Blvd. N., Orlando, FL 32816"
333,LAKE CLAIRE GAZEBO,LKG,"12467 Gemini Blvd. N., Orlando, FL 32816"
334,LAKE CLAIRE BOATHOUSE,LKB,"12475 Gemini Blvd. N., Orlando, FL 32816"
335,ECON PAVILION,EP,"12483 Gemini Blvd. N., Orlando, FL 32816"
350,EMERGENCY SERVICES TRAINING BUILDING,ESTB,"14026 McColloch Rd., Orlando, FL 32816"
351,FIRE STATION No. 65,FS65,"4989 N. Orion Blvd., Orlando, FL 32816"
354,UTILITY BUILDING 3  ,UB3,"12907 Gemini Blvd E, Orlando, FL 32816"
401,ZETA TAU ALPHA,ZTA,"4202 Greek Park Dr., Orlando, FL 32816"
402,SCHOLARSHIP HOUSE (Formerly BPW BUILDING),BPW,"12649 Triangulum Ct., Orlando, FL 32816"
403,DELTA DELTA DELTA,DDD,"4220 Greek Park Dr., Orlando, FL 32816"
404,ALPHA XI DELTA,AZD,"4101 Greek Park Dr., Orlando, FL 32816"
405,PI BETA PHI,PBP,"4304 Greek Park Dr., Orlando, FL 32816"
406,ALPHA DELTA PI,ADP,"4207 Greek Park Dr., Orlando, FL 32816"
407,KAPPA DELTA,KD,"4303 Greek Park Dr., Orlando, FL 32816"
409,ALPHA EPSILON PHI,AEP,"4321 Greek Park Dr., Orlando, FL 32816"
410,ALPHA TAU OMEGA,ATO,"4419 Greek Ct., Orlando, FL 32816"
411,KAPPA ALPHA THETA,G411,"4400 Greek Ct., Orlando, FL 32816"
412,SIGMA CHI,SX,"4418 Greek Ct., Orlando, FL 32816"
413,KAPPA SIGMA,KS,"4322 Greek Park Dr., Orlando, FL 32816"
415,FRATERNITY AND SORORITY LIFE,G415,"4100 Greek Park Dr., Orlando, FL 32816"
416,CHI OMEGA,G416,"4144 Greek Park Dr., Orlando, FL 32816"
417,KAPPA KAPPA GAMMA,G417,"4176 Greek Park Dr, Orlando, FL 32816"
525,ARBORETUM PORTABLE   ,ARB,"4312 Scorpius St., Orlando, FL 32816"
541,ARTS & HUMANITIES ANNEX,AHA,"12501 Aquarius Agora Dr., Orlando, FL 32816"
7A,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-A,"4115 Pyxis Ln., Orlando, FL 32816"
16F,FACILITIES & SAFETY - F ,FSC-F,"3544 Perseus Loop, Orlando, FL 32816"
